frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Apr  1, 2026 21:29:39.756751621 PKT,,,,,,5353,5353
Apr  1, 2026 21:29:39.803948716 PKT,192.168.100.108,224.0.0.251,17,,,5353,5353
Apr  1, 2026 21:29:39.803950957 PKT,,,,,,5353,5353
Apr  1, 2026 21:29:40.094887452 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:40.115469923 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:40.117332429 PKT,192.168.100.135,239.255.255.250,17,,,46731,1900
Apr  1, 2026 21:29:40.119996461 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:40.120126682 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:40.225955549 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:40.226030400 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:40.260903561 PKT,192.168.100.39,35.190.80.1,6,40212,443,,
Apr  1, 2026 21:29:40.324932622 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:40.324933848 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:40.324934121 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:40.324935343 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:40.324935592 PKT,192.168.100.135,239.255.255.250,17,,,46731,1900
Apr  1, 2026 21:29:40.325038185 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:40.514579825 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:40.515519118 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:40.515519730 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:40.515567871 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:40.515717950 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:40.538246946 PKT,192.168.100.135,239.255.255.250,17,,,46731,1900
Apr  1, 2026 21:29:40.621305325 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:40.621386450 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:41.155882808 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:29:41.518746953 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
