frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Apr  1, 2026 21:29:07.946234392 PKT,104.18.39.21,192.168.100.39,6,443,44332,,
Apr  1, 2026 21:29:07.946234726 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:07.946234997 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:07.946235330 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:07.946346545 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:07.947158331 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:07.948233102 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:07.948570856 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:07.952163218 PKT,192.168.100.39,157.240.227.60,6,43354,443,,
Apr  1, 2026 21:29:07.952583673 PKT,192.168.100.39,104.18.39.21,6,44332,443,,
Apr  1, 2026 21:29:07.964811498 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:07.972422417 PKT,192.168.100.39,142.251.38.3,17,,,59806,443
Apr  1, 2026 21:29:07.995436801 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:08.035930816 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:08.105966534 PKT,192.168.100.39,157.240.227.60,17,,,52401,443
Apr  1, 2026 21:29:08.106471723 PKT,192.168.100.39,157.240.227.60,17,,,52401,443
Apr  1, 2026 21:29:08.106622471 PKT,192.168.100.39,157.240.227.60,17,,,52401,443
Apr  1, 2026 21:29:08.106727589 PKT,192.168.100.39,157.240.227.60,17,,,52401,443
Apr  1, 2026 21:29:08.131936204 PKT,192.168.100.39,35.190.80.1,6,40210,443,,
Apr  1, 2026 21:29:08.332812589 PKT,,,,,,,
Apr  1, 2026 21:29:08.387946782 PKT,192.168.100.39,35.190.80.1,6,40212,443,,
Apr  1, 2026 21:29:08.521430620 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:29:08.598124484 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:09.081922645 PKT,192.168.100.39,157.240.227.60,17,,,52401,443
Apr  1, 2026 21:29:09.082455430 PKT,192.168.100.39,157.240.227.60,17,,,52401,443
Apr  1, 2026 21:29:09.155939127 PKT,192.168.100.39,35.190.80.1,6,40210,443,,
Apr  1, 2026 21:29:09.217276876 PKT,192.168.100.39,192.168.100.1,17,,,40611,53
Apr  1, 2026 21:29:09.296547259 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:09.296548183 PKT,104.18.39.21,192.168.100.39,6,443,44332,,
Apr  1, 2026 21:29:09.296548483 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:09.296548736 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:09.296548976 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:09.296549225 PKT,157.240.227.60,192.168.100.39,17,,,443,52401
Apr  1, 2026 21:29:09.296549475 PKT,157.240.227.60,192.168.100.39,17,,,443,52401
Apr  1, 2026 21:29:09.296549719 PKT,157.240.227.60,192.168.100.39,17,,,443,52401
Apr  1, 2026 21:29:09.296665151 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:09.296738466 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:09.296888637 PKT,157.240.227.60,192.168.100.39,17,,,443,52401
Apr  1, 2026 21:29:09.296889062 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:09.296889366 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:29:09.310424633 PKT,192.168.100.39,157.240.227.60,17,,,52401,443
Apr  1, 2026 21:29:09.360336348 PKT,,,,,,,
Apr  1, 2026 21:29:09.411923015 PKT,192.168.100.39,35.190.80.1,6,40212,443,,
Apr  1, 2026 21:29:09.539955799 PKT,192.168.100.39,20.189.173.25,6,51768,443,,
Apr  1, 2026 21:29:09.546157231 PKT,,,,,,,
Apr  1, 2026 21:29:10.377074302 PKT,,,,,,,
Apr  1, 2026 21:29:10.480233657 PKT,,,,,,,
Apr  1, 2026 21:29:10.911560517 PKT,192.168.100.135,239.255.255.250,17,,,56390,1900
